order_id,order_date,amount,product id,product_name
100257,01-01-2024,58579.91,PROD574,Laptop
100440,01-01-2024,1245.02,PROD555,Dry Fruits
100314,01-01-2024,851.27,PROD141,Mouse
100626,04-01-2024,1528.94,PROD192,Keyboard
100787,04-01-2024,2126.32,PROD729,T-Shirt
100644,05-01-2024,240.72,PROD477,Pen Set
100399,05-01-2024,46049.18,PROD100,Leptop
100200,06-01-2024,544.81,PROD449,Printer Paper
100441,07-01-2024,7809.05,PROD750,Speaker
100973,13-01-2024,1537.51,PROD878,Headphones
100088,15-01-2024,3663.64,PROD528,Headphones
100169,16-01-2024,775.71,PROD265,Mouse
100136,17-01-2024,1182.43,PROD431,Speaker
100710,18-01-2024,385.75,PROD477,Pen Set
100259,18-01-2024,7264.62,PROD777,Air Purifier
100221,20-01-2024,5708.54,PROD252,SSD
100327,20-01-2024,58153.71,PROD148,Leptop
100467,20-01-2024,5614.79,PROD231,Shoes
100408,20-01-2024,1036.9,PROD451,Puzzle Set
100634,20-01-2024,323.62,PROD242,Pen Set
100557,23-01-2024,40222.08,PROD694,Leptop
100261,24-01-2024,865.43,PROD493,Keyboard
100949,24-01-2024,10645.41,PROD616,Cricket Bat
100497,24-01-2024,45099.64,PROD512,Leptop
100864,26-01-2024,49947.68,PROD115,Laptop
100320,26-01-2024,6682.92,PROD381,Headphones
100762,27-01-2024,190.27,PROD122,Pen Set
100628,29-01-2024,150.89,PROD197,Pen Set
100201,29-01-2024,44983.22,PROD532,Smart Phones
100879,30-01-2024,8478.67,PROD208,SSD
100770,30-01-2024,8581.34,PROD993,SSD
100036,30-01-2024,878.94,PROD492,T-Shirt
100726,30-01-2024,602.7,PROD862,Keyboard
100337,01-02-2024,14279.31,PROD829,Smart Phones
100778,02-02-2024,404.61,PROD608,Printer Paper
100369,02-02-2024,3468.74,PROD602,Shoes
100520,02-02-2024,770.38,PROD497,Face Wash
100882,05-02-2024,332.75,PROD265,Notebook
100410,06-02-2024,11991.94,PROD115,SSD
100970,07-02-2024,37270.1,PROD511,Leptop
100276,07-02-2024,623.95,PROD994,Printer Paper
100503,07-02-2024,11147.42,PROD434,Cricket Bat
100616,08-02-2024,540.25,PROD876,Pen Set
100312,08-02-2024,350.13,PROD109,Pen Set
100486,10-02-2024,463.8,PROD679,Face Wash
100655,12-02-2024,1323.34,PROD951,Analytics Book
100458,13-02-2024,375.14,PROD299,Pen Set
100786,13-02-2024,316.92,PROD516,Pen Set
100371,14-02-2024,1215.04,PROD501,Analytics Book
100980,14-02-2024,36553.36,PROD391,Leptop
100523,15-02-2024,4382.52,PROD245,SSD
100886,16-02-2024,43202.21,PROD668,Leptop
100802,16-02-2024,1292.88,PROD463,Keyboard
100127,16-02-2024,14586.81,PROD633,Monitor
100329,17-02-2024,2082.29,PROD555,Keyboard
100438,18-02-2024,1056.8,PROD595,Dry Fruits
100962,18-02-2024,45209.71,PROD856,Leptop
100709,18-02-2024,17082.88,PROD775,Monitor
100310,19-02-2024,34891.89,PROD733,Leptop
100703,20-02-2024,35440.45,PROD770,Leptop
100230,20-02-2024,14765.38,PROD751,Smart Phones
100793,20-02-2024,290.58,PROD691,Pen Set
100589,21-02-2024,2502.9,PROD117,Shoes
100023,23-02-2024,8765.58,PROD987,Speaker
100854,26-02-2024,1395.1,PROD723,Analytics Book
100667,26-02-2024,1268.92,PROD131,Analytics Book
100477,26-02-2024,44976.61,PROD198,Leptop
100750,29-02-2024,26347.69,PROD786,Monitor
100633,01-03-2024,355.46,PROD167,Dry Fruits
100364,03-03-2024,333.32,PROD754,Printer Paper
100527,04-03-2024,1158.43,PROD278,Puzzle Set
100863,04-03-2024,10046.64,PROD304,SSD
100315,04-03-2024,3071.63,PROD141,Headphones
100852,06-03-2024,11589.47,PROD572,Monitor
100031,07-03-2024,944.76,PROD288,Puzzle Set
100910,07-03-2024,3358.19,PROD634,Speaker
100338,08-03-2024,384.8,PROD461,Notebook
100080,08-03-2024,1240.68,PROD400,Analytics Book
100814,09-03-2024,5175.54,PROD213,Shoes
100264,10-03-2024,257.9,PROD888,Face Wash
100592,10-03-2024,1620.52,PROD960,Keyboard
100451,10-03-2024,7974.06,PROD324,Monitor
100304,11-03-2024,408.53,PROD602,Pen Set
100740,11-03-2024,44581.34,PROD304,Leptop
100470,13-03-2024,47792.35,PROD492,Laptop
100319,13-03-2024,204.69,PROD531,Notebook
100955,13-03-2024,1710.03,PROD439,Mouse
100500,13-03-2024,7614.65,PROD215,SSD
100680,14-03-2024,4874.96,PROD461,Mixer
100621,16-03-2024,1232.81,PROD787,Analytics Book
100554,16-03-2024,8256.83,PROD709,Speaker
100513,16-03-2024,1800.13,PROD404,Cricket Bat
100421,16-03-2024,1284.4,PROD598,Dry Fruits
100175,17-03-2024,149.14,PROD554,Notebook
100473,17-03-2024,3274.91,PROD232,Mixer
100613,17-03-2024,8758.52,PROD208,Speaker
100263,18-03-2024,23965.06,PROD743,Smart Phones
100502,19-03-2024,1086.4,PROD273,Puzzle Set
100944,19-03-2024,348.14,PROD271,Pen Set
